"Id","Class","Label","Direction","Intersection"
"OLFML2A","gene","OLFML2A","Down-regulated","CMV_eg_AND_HIV_eg"
"OSR1","gene","OSR1","Down-regulated","CMV_eg"
"PABPC4L","Placenta_179","PABPC4L","Down-regulated","CMV_eg"
"PCDHA12","gene","PCDHA12","Down-regulated","CMV_eg_AND_HIV_eg"
"PCDHB13","gene","PCDHB13","Down-regulated","CMV_eg"
"PCDHB7","gene","PCDHB7","Down-regulated","CMV_eg"
"PCDHGA5","gene","PCDHGA5","Down-regulated","CMV_eg"
"PCDHGA6","gene","PCDHGA6","Down-regulated","CMV_eg_AND_HIV_eg"
"PCDHGA7","gene","PCDHGA7","Down-regulated","CMV_eg"
"PCDHGA8","gene","PCDHGA8","Down-regulated","CMV_eg"
"PCDHGB1","gene","PCDHGB1","Down-regulated","CMV_eg_AND_HIV_eg"
"PDE3A","gene","PDE3A","Down-regulated","CMV_eg_AND_HIV_eg"
"PDLIM3","gene","PDLIM3","Down-regulated","CMV_eg"
"PDZRN4","gene","PDZRN4","Down-regulated","CMV_eg_AND_HIV_eg_AND_HIV_T"
"PEAR1","gene","PEAR1","Down-regulated","CMV_eg"
"PEG10","Placenta_179","PEG10","Down-regulated","CMV_eg_AND_HIV_eg"
"PEG3","Placenta_179","PEG3","Down-regulated","CMV_eg_AND_HIV_eg"
"PHEX","gene","PHEX","Down-regulated","CMV_eg_AND_HIV_eg"
"PHOSPHO2-KLHL23","gene","PHOSPHO2-KLHL23","Down-regulated","CMV_eg"
"PI16","gene","PI16","Down-regulated","CMV_eg"
"PITX1","gene","PITX1","Down-regulated","CMV_eg_AND_HIV_eg"
"PITX2","Placenta_179","PITX2","Down-regulated","CMV_eg_AND_HIV_eg_AND_HIV_T"
"PKNOX2","gene","PKNOX2","Down-regulated","CMV_eg_AND_HIV_T"
"PKP1","gene","PKP1","Down-regulated","CMV_eg"
"PLA2G2A","Placenta_47","PLA2G2A","Down-regulated","CMV_eg_AND_HIV_eg"
"PLA2G5","gene","PLA2G5","Down-regulated","CMV_eg_AND_HIV_eg"
"PLCE1","gene","PLCE1","Down-regulated","CMV_eg_AND_HIV_eg"
"PLEKHG1","gene","PLEKHG1","Down-regulated","CMV_eg_AND_HIV_eg"
"PLIN1","gene","PLIN1","Down-regulated","CMV_eg_AND_HIV_eg"
"PODNL1","gene","PODNL1","Down-regulated","CMV_eg_AND_HIV_eg"
"PPFIA4","gene","PPFIA4","Down-regulated","CMV_eg"
"PRCD","gene","PRCD","Down-regulated","CMV_eg"
"PRDM6","gene","PRDM6","Down-regulated","CMV_eg_AND_HIV_eg"
"PRELP","gene","PRELP","Down-regulated","CMV_eg_AND_HIV_eg"
"PRL","gene","PRL","Down-regulated","CMV_eg_AND_HIV_eg"
"PRRT2","gene","PRRT2","Down-regulated","CMV_eg"
"PRSS12","gene","PRSS12","Down-regulated","CMV_eg_AND_HIV_eg"
"PRSS35","gene","PRSS35","Down-regulated","CMV_eg"
"PTCH1","gene","PTCH1","Down-regulated","CMV_eg"
"PTPRD","gene","PTPRD","Down-regulated","CMV_eg_AND_HIV_eg"
"PTPRT","gene","PTPRT","Down-regulated","CMV_eg"
"RANBP3L","gene","RANBP3L","Down-regulated","CMV_eg_AND_HIV_eg"
"RNF39","gene","RNF39","Down-regulated","CMV_eg_AND_HIV_eg"
"ROBO2","gene","ROBO2","Down-regulated","CMV_eg"
"RSPO2","Placenta_179","RSPO2","Down-regulated","CMV_eg_AND_HIV_eg"
"RTL1","Placenta_179","RTL1","Down-regulated","CMV_eg"
"RYR2","gene","RYR2","Down-regulated","CMV_eg"
"SAXO2","gene","SAXO2","Down-regulated","CMV_eg"
"SBSPON","gene","SBSPON","Down-regulated","CMV_eg_AND_HIV_eg"
"SCGN","gene","SCGN","Down-regulated","CMV_eg"
"SCN7A","gene","SCN7A","Down-regulated","CMV_eg_AND_HIV_eg"
"SCRG1","gene","SCRG1","Down-regulated","CMV_eg"
"SCUBE3","gene","SCUBE3","Down-regulated","CMV_eg"
"SEMA3F","gene","SEMA3F","Down-regulated","CMV_eg"
"SEMA3G","gene","SEMA3G","Down-regulated","CMV_eg_AND_HIV_eg"
"SEMA4G","gene","SEMA4G","Down-regulated","CMV_eg"
"SEMA6D","Placenta_179","SEMA6D","Down-regulated","CMV_eg_AND_HIV_eg"
"SEZ6L2","gene","SEZ6L2","Down-regulated","CMV_eg_AND_HIV_eg"
"SFTPD","gene","SFTPD","Down-regulated","CMV_eg"
"SGCA","gene","SGCA","Down-regulated","CMV_eg"
"SGCD","gene","SGCD","Down-regulated","CMV_eg_AND_HIV_eg"
"SH3GL3","gene","SH3GL3","Down-regulated","CMV_eg"
"SLC12A3","gene","SLC12A3","Down-regulated","CMV_eg"
"SLC16A12","gene","SLC16A12","Down-regulated","CMV_eg"
"SLC18A3","gene","SLC18A3","Down-regulated","CMV_eg"
"SLC22A11","Placenta_47","SLC22A11","Down-regulated","CMV_eg_AND_HIV_eg"
"SLC38A4","gene","SLC38A4","Down-regulated","CMV_eg_AND_HIV_eg"
"SLC52A1","Placenta_47","SLC52A1","Down-regulated","CMV_eg"
"SLC5A12","gene","SLC5A12","Down-regulated","CMV_eg_AND_HIV_eg"
"SLC6A4","Placenta_47","SLC6A4","Down-regulated","CMV_eg_AND_HIV_eg_AND_HIV_T"
"SLIT3","gene","SLIT3","Down-regulated","CMV_eg_AND_HIV_eg"
"SORBS2","gene","SORBS2","Down-regulated","CMV_eg_AND_HIV_eg"
