"Symbol","signcon","randomSummary","randomCi.lb","randomCi.ub","randomP","het_QE","het_QEp","het_QM","het_QMp","error","rank","virus","gestation"
"CFAP69",-3,-3.99775861101575,-7.12628700273878,-0.869230219292731,0.0122617565286938,3.15704500128134,0.206279651213554,6.27262198159149,0.0122617565286939,FALSE,3022,"HIV","Early/mid"
"C1S",-3,-2.61995295887032,-4.67027029668846,-0.56963562105217,0.0122625675803672,0.845277051183259,0.655315470075818,6.27250478072572,0.0122625675803672,FALSE,3023,"HIV","Early/mid"
"PLCD1",-3,-2.10910156887705,-3.76006952862924,-0.458133609124856,0.0122852841584804,0.116278030694409,0.943518774729437,6.26922535684474,0.0122852841584804,FALSE,3024,"HIV","Early/mid"
"HS6ST3",-3,-3.3317983388823,-5.94106054848032,-0.722536129284276,0.0123249404165823,0.577459950880636,0.74921448440255,6.26351537763745,0.0123249404165823,FALSE,3025,"HIV","Early/mid"
"LMTK3",-3,-2.43231407489894,-4.33725759858856,-0.527370551209316,0.0123296434672214,1.18741434630315,0.552276101901456,6.26283945243699,0.0123296434672214,FALSE,3026,"HIV","Early/mid"
"RHOBTB1",-3,-2.1049675886214,-3.75371718646695,-0.456217990775848,0.0123390472593721,0.0603010898300215,0.970299448904564,6.26148872780308,0.0123390472593722,FALSE,3027,"HIV","Early/mid"
"C4orf19",-3,-3.46983252609979,-6.18774235409333,-0.751922698106242,0.0123425101013224,2.19004725298559,0.334531703044366,6.26099160485539,0.0123425101013224,FALSE,3028,"HIV","Early/mid"
"AKAP12",-3,-2.54322229511132,-4.53572768085907,-0.550716909363564,0.0123603273079958,2.72239349748655,0.256353802213744,6.25843604335902,0.0123603273079958,FALSE,3029,"HIV","Early/mid"
"ZNF385B",-3,-3.64374696281833,-6.4992489738625,-0.788244951774162,0.0123842898424415,2.35729952420553,0.307693918231563,6.25500500489045,0.0123842898424415,FALSE,3032,"HIV","Early/mid"
"DOC2B",-3,-5.62417367679733,-10.0324919729735,-1.21585538062114,0.0124004000186816,5.13452175069447,0.0767454732011159,6.25270212602966,0.0124004000186816,FALSE,3035,"HIV","Early/mid"
"HUNK",-3,-6.14542847332655,-10.9637234755615,-1.32713347109157,0.0124260188453849,5.4683695393318,0.0649469322371174,6.2490463501701,0.0124260188453849,FALSE,3036,"HIV","Early/mid"
"IL1RAPL2",-3,-5.73145193740568,-10.2253140323107,-1.23758984250064,0.0124288187856048,0.00119430915663976,0.99940302368299,6.24864727153758,0.0124288187856048,FALSE,3037,"HIV","Early/mid"
"ZNF534",-3,-3.73195526917042,-6.65820646361682,-0.805704074724023,0.0124328754299321,0.586084276224733,0.745990705394746,6.24806923727657,0.0124328754299321,FALSE,3038,"HIV","Early/mid"
"STAB2",-3,-5.18387008380692,-9.24875440128341,-1.11898576633044,0.012436694506289,3.40549721212818,0.18218208845087,6.24752523130302,0.012436694506289,FALSE,3039,"HIV","Early/mid"
"SMIM10",-3,-2.46990885087283,-4.40704162116828,-0.532776080577374,0.0124537489673173,0.521591203656859,0.770438379718375,6.24509801179423,0.0124537489673172,FALSE,3041,"HIV","Early/mid"
"GRIK4",-3,-4.91884715579963,-8.77670194024686,-1.0609923713524,0.0124545753632387,0.680957101627159,0.711429785984145,6.24498048450273,0.0124545753632387,FALSE,3042,"HIV","Early/mid"
"GRIP1",-3,-4.42064570335358,-7.88808753322773,-0.953203873479437,0.0124628538712993,2.8505073826394,0.240447456037734,6.24380358444638,0.0124628538712993,FALSE,3044,"HIV","Early/mid"
"HOXA3",-3,-5.51534161896984,-9.84165121539059,-1.18903202254908,0.0124672454722427,2.64653871914685,0.266263366720545,6.24317958595685,0.0124672454722427,FALSE,3045,"HIV","Early/mid"
"MAB21L4",-3,-4.49611714603647,-8.02359063793031,-0.968643654142626,0.0124836389255473,0.00195443990366181,0.99902325737209,6.24085224871974,0.0124836389255472,FALSE,3046,"HIV","Early/mid"
"ROR1",-3,-2.00444230005781,-3.57753827431635,-0.431346325799268,0.0125111148301484,0.219768683156368,0.895937752050785,6.23695859667534,0.0125111148301484,FALSE,3048,"HIV","Early/mid"
"DBH",-3,-6.16100853789748,-10.9964474917991,-1.32556958399589,0.0125156674672793,0.00101383831371742,0.99949320930495,6.23631428414485,0.0125156674672793,FALSE,3049,"HIV","Early/mid"
"SCNN1A",-3,-3.52371462939052,-6.28975517389275,-0.757674084888301,0.0125306362985832,3.45714117453087,0.17753800376505,6.23419751470945,0.0125306362985833,FALSE,3052,"HIV","Early/mid"
"TROAP",-3,-3.38188881314142,-6.03752186617302,-0.726255760109821,0.0125613245582664,1.06531828969436,0.587041862990826,6.22986594408818,0.0125613245582664,FALSE,3057,"HIV","Early/mid"
"SP6",-3,-4.415215361426,-7.88259874943789,-0.947831973414103,0.0125697179509368,4.01231976105107,0.13450419638674,6.22868313138142,0.0125697179509368,FALSE,3058,"HIV","Early/mid"
"ARHGEF15",-3,-5.40840679548296,-9.65655459135584,-1.16025899961007,0.01258607538974,2.697613623828,0.25954976764962,6.22638034043193,0.01258607538974,FALSE,3059,"HIV","Early/mid"
"INAFM1",-3,-2.00569904386033,-3.58125502653032,-0.430143061190351,0.0125937820422411,0.179161225094481,0.914314556928029,6.22529646778196,0.0125937820422411,FALSE,3060,"HIV","Early/mid"
"PLLP",-3,-4.09283105242838,-7.3082354906891,-0.877426614167654,0.0126026986239314,1.75116829928027,0.416618580988961,6.2240432793779,0.0126026986239314,FALSE,3061,"HIV","Early/mid"
"FER1L5",-3,-4.29446574233564,-7.6700793433314,-0.918852141339883,0.0126500540942386,0.426939681031099,0.807776521906644,6.21740289683392,0.0126500540942386,FALSE,3063,"HIV","Early/mid"
"B3GNT6",-3,-3.99534548906758,-7.1361949719986,-0.854496006136565,0.0126601223347646,0.00253288220555194,0.998734360495329,6.2159943789414,0.0126601223347645,FALSE,3064,"HIV","Early/mid"
"CCL28",-3,-2.42031985535315,-4.32394857963287,-0.516691131073442,0.012704539568971,0.65435178271112,0.720956921783281,6.20979424539312,0.012704539568971,FALSE,3066,"HIV","Early/mid"
