"Symbol","signcon","randomSummary","randomCi.lb","randomCi.ub","randomP","het_QE","het_QEp","het_QM","het_QMp","error","rank","virus","gestation"
"SUSD5",-3,-5.82205958130092,-10.4872338394691,-1.15688532313277,0.0144450067857573,4.3276308356852e-05,0.999978362079925,5.98292738773327,0.0144450067857573,FALSE,1555,"HIV","Term"
"FILIP1L",-3,-2.21837069460478,-3.99626155516756,-0.440479834041996,0.0144630113220152,0.0690143175991206,0.966081423678465,5.98073040584356,0.0144630113220153,FALSE,1557,"HIV","Term"
"F10",-1,-9.19273542787743,-16.560778283062,-1.8246925726929,0.0144712351824293,0,1,5.9797278355699,0.0144712351824293,FALSE,1558,"HIV","Term"
"HBG2",-6,-3.0372232960468,-5.47202876799635,-0.60241782409725,0.0144893568178773,10.08469013208,0.0728708467832711,5.9775206965601,0.0144893568178772,FALSE,1560,"HIV","Term"
"NKAIN4",-4,-5.92272030248003,-10.6720443283286,-1.1733962766314,0.0145172008158987,0.000192251995732766,0.999999291075405,5.97413494555155,0.0145172008158987,FALSE,1561,"HIV","Term"
"GPR143",-2,-6.78875753371603,-12.2385102802464,-1.33900478718569,0.0146252813311491,1.23367316540585e-06,0.999113783092709,5.96105569727878,0.0146252813311491,FALSE,1564,"HIV","Term"
"EPB41L4B",-2,-6.10527200817338,-11.0066559902615,-1.20388802608529,0.0146314779813839,5.14870497528096e-05,0.994274870188514,5.96030883485713,0.0146314779813839,FALSE,1565,"HIV","Term"
"LOC107984025",-6,-2.04579308248752,-3.68900112741167,-0.402585037563379,0.0146810000280616,2.42807251989462,0.787286367009421,5.95435177490846,0.0146810000280616,FALSE,1570,"HIV","Term"
"TNFSF18",-6,-3.16062142720535,-5.70185319365473,-0.61938966075597,0.0147819443656094,1.26791342761798,0.938198470630968,5.9422728731267,0.0147819443656094,FALSE,1573,"HIV","Term"
"AKR1C3",-4,-3.6731190743993,-6.62662554532597,-0.71961260347264,0.014789088551391,11.2625823318898,0.0464152632428868,5.94142122715513,0.014789088551391,FALSE,1574,"HIV","Term"
"TIMP3",-2,-4.54101355294965,-8.19294149276917,-0.889085613130134,0.0148043574046444,0.00554988358368968,0.940614497897021,5.93960247288732,0.0148043574046444,FALSE,1576,"HIV","Term"
"RNF223",-2,-7.40932355517821,-13.3854420393814,-1.43320507097499,0.0150985481724834,2.32531409512347e-05,0.996152495021718,5.9049320426664,0.0150985481724833,FALSE,1589,"HIV","Term"
"ACTA1",-6,-3.59450815720805,-6.49372279012117,-0.695293524294939,0.0150986076970135,1.06171718102437,0.957435848172369,5.90492509830713,0.0150986076970135,FALSE,1590,"HIV","Term"
"NOG",-1,-10.4221927542532,-18.8337116828333,-2.01067382567305,0.0151626741890345,0,1,5.89746715629862,0.0151626741890344,FALSE,1596,"HIV","Term"
"KCNK7",-6,-2.17577846893612,-3.93180790677931,-0.41974903109292,0.0151630931355065,2.97864118628585,0.70327890294167,5.89741849387003,0.0151630931355065,FALSE,1597,"HIV","Term"
"MRGPRE",-3,-5.76758472780643,-10.4236279030712,-1.11154155254167,0.0151878688972497,0.000261401617419451,0.999869307732269,5.89454314268658,0.0151878688972497,FALSE,1598,"HIV","Term"
"DSC3",-1,-8.82017586110236,-15.9408323540636,-1.69951936814111,0.0151924987951772,0,1,5.89400635562924,0.0151924987951771,FALSE,1599,"HIV","Term"
"TOX2",-1,-7.86247884351827,-14.2100357082769,-1.51492197875968,0.0151935101701914,0,1,5.89388911995533,0.0151935101701914,FALSE,1600,"HIV","Term"
"PRDM16",-6,-3.63461869691446,-6.5702781350375,-0.698959258791421,0.0152403261099156,1.33394514766281,0.931400293596155,5.88847113055449,0.0152403261099156,FALSE,1602,"HIV","Term"
"CDH15",-4,-6.00178015286867,-10.8497355403587,-1.15382476537862,0.0152477707450098,0.000265253926655531,0.999998851113887,5.887611146002,0.0152477707450098,FALSE,1603,"HIV","Term"
"ARHGDIG",-4,-6.00169374202765,-10.8497920442109,-1.15359543984445,0.0152522448938777,0.000225923351499163,0.999999096909955,5.88709451219947,0.0152522448938777,FALSE,1604,"HIV","Term"
"AADACL3",-1,-7.50352542095332,-13.5733870104149,-1.43366383149174,0.0153973603939846,0,1,5.87042200630162,0.0153973603939845,FALSE,1610,"HIV","Term"
"CFH",-1,-8.5940099437848,-15.5509058841255,-1.63711400344413,0.015469892717224,0,1,5.86214924638076,0.015469892717224,FALSE,1612,"HIV","Term"
"GDF7",-1,-9.32718047823428,-16.8897063088436,-1.76465464762495,0.0156358734719527,0,1,5.84336749799064,0.0156358734719527,FALSE,1619,"HIV","Term"
"MAG",-6,-3.64886862992172,-6.60798836193378,-0.689748897909666,0.0156568831643149,0.979964571113751,0.964165526628296,5.84100478000382,0.0156568831643148,FALSE,1620,"HIV","Term"
"INAVA",-1,-8.45960820754704,-15.3217750286994,-1.59744138639473,0.015682440246815,0,1,5.8381350695163,0.015682440246815,FALSE,1622,"HIV","Term"
"FAM178B",-4,-5.70148375294669,-10.3272465168725,-1.07572098902089,0.0157026856187263,0.000260837904172539,0.99999887968313,5.83586520995519,0.0157026856187262,FALSE,1623,"HIV","Term"
"EVPL",-2,-6.41369234595107,-11.619360362984,-1.20802432891817,0.0157441932956807,2.98987007624579e-09,0.99995637190807,5.83122088921961,0.0157441932956807,FALSE,1626,"HIV","Term"
"CDHR3",-6,-3.46428088188344,-6.27781043086491,-0.650751332901969,0.015809188402927,0.982802629970006,0.963940898783947,5.82397383157325,0.015809188402927,FALSE,1628,"HIV","Term"
"CRACD",-2,-7.06292609105905,-12.8062646925372,-1.31958748958089,0.0159400793580414,3.65279688374555e-05,0.995177744919325,5.80947200425796,0.0159400793580414,FALSE,1631,"HIV","Term"
"NPW",-6,-3.25438673495446,-5.9018904374806,-0.606883032428316,0.0159856333193832,1.1538545137081,0.949227045428031,5.80445370673314,0.0159856333193832,FALSE,1634,"HIV","Term"
"C4BPA",-4,-5.94855226852599,-10.788053080259,-1.10905145679299,0.015990948472721,0.000192131840124644,0.999999291739882,5.80386914132733,0.015990948472721,FALSE,1636,"HIV","Term"
"ATP6V1B1",-1,-8.27549405233419,-15.0093779704071,-1.54161013426131,0.0160109883988975,0,1,5.80166693151124,0.0160109883988975,FALSE,1638,"HIV","Term"
"DUSP19",-6,-2.1107851130261,-3.8294706859116,-0.392099540140604,0.0160793881260439,2.63941289190405,0.755368212818141,5.79417174901746,0.0160793881260438,FALSE,1640,"HIV","Term"
"NME5",-6,-4.48144979874776,-8.13192944299279,-0.830970154502738,0.0161231113306601,0.00040802806117979,0.999999999821141,5.78939779685782,0.01612311133066,FALSE,1642,"HIV","Term"
"ADAMTSL5",-1,-9.30401160566743,-16.8843248933935,-1.72369831794139,0.0161440319414384,0,1,5.78711828180169,0.0161440319414384,FALSE,1643,"HIV","Term"
"ERVV-2",-6,-3.26271369972489,-5.92267132991665,-0.602756069533136,0.016212384348995,1.64036288436169,0.896325695851141,5.77969175694025,0.016212384348995,FALSE,1647,"HIV","Term"
"GLI2",-1,-8.3973382046326,-15.2434545158232,-1.55122189344204,0.0162140725174179,0,1,5.77950874524014,0.016214072517418,FALSE,1648,"HIV","Term"
"TPD52L1",-2,-6.10054064530559,-11.0777214474065,-1.1233598432047,0.0162909223950115,0.00034082593208852,0.985270713566016,5.77119830490376,0.0162909223950115,FALSE,1650,"HIV","Term"
"CTAGE8",-6,-3.1102403021741,-5.65324970945397,-0.567230894894227,0.0165234422369978,3.42196957716101,0.635226101084458,5.74629791057775,0.0165234422369978,FALSE,1657,"HIV","Term"
"GCK",-6,-4.18304203026247,-7.60428540146721,-0.761798659057737,0.0165577487220133,0.478546269070684,0.99288779241782,5.7426546648177,0.0165577487220134,FALSE,1659,"HIV","Term"
"PCDH19",-2,-7.3393232161638,-13.3457526912889,-1.33289374103871,0.0166248140064614,1.0361454382285e-06,0.99918782363664,5.73555496101208,0.0166248140064614,FALSE,1661,"HIV","Term"
