Symbol,log2FoldChange,padj,Direction,Comparison,ndeg,ddeg,idx,degvcount,virus.x,gestation.x,signcon,randomSummary,randomP,rank,virus.y,gestation.y,Shared_2,Shared
DACH1,-5.2910011817575,0.00462063381306491,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-2,-19.5064483173301,7.95364307684208E-10,156,HIV,Term,FALSE,FALSE
DACT1,-2.98686085552813,0.0158315333433772,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DACT2,-5.99696579108721,0.0146976812907011,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DAPP1,NA,NA,NA,NA,4,4,16,2.Up-regulated,HIV,Term,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DBH,-20.7781605989197,0.000456527146915063,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DCN,-4.77997629393259,0.00158129266179424,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DDIT4,-2.39359906752953,0.00901380838709227,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-6,-2.65365172936498,2.58339904169248E-05,361,HIV,Term,FALSE,FALSE
DDX3Y,NA,NA,NA,NA,4,-4,-16,0.Down-regulated,HIV,Term,-4,-17.1697247939185,0.000131029434610315,259,HIV,Term,TRUE,FALSE
DENND2A,-6.08099986162511,5.17694038840378E-05,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DEPP1,-3.41890232918796,0.0122973225223919,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DEPTOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-3.01865669867732,0.000119749810093026,375,HIV,Term,FALSE,FALSE
DES,-4.01357059492232,0.0271651942671766,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DGCR6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-3.15990426062494,0.0451102710406543,2664,HIV,Term,FALSE,FALSE
DIO3,-4.25671150246576,0.0139746639881224,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-9.53311010118472,0.00886370010738691,1284,HIV,Term,FALSE,FALSE
