Symbol,log2FoldChange,padj,Direction,Comparison,ndeg,ddeg,idx,degvcount,virus.x,gestation.x,signcon,randomSummary,randomP,rank,virus.y,gestation.y,Shared_between_3,Shared_between_rem_vote
HPSE2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-6.42541907080333,0.0011982064760643,1077,HIV,Early/mid,FALSE,FALSE
HPX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2.59883075621907,0.0342115532606377,4347,HIV,Early/mid,FALSE,FALSE
HRC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.88046030274804,0.00214562273609092,1620,HIV,Early/mid,FALSE,FALSE
HRCT1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.27072407443899,0.0340993725814615,4341,HIV,Early/mid,FALSE,FALSE
HS3ST6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.6393601154022,0.00999830317308827,2824,HIV,Early/mid,FALSE,FALSE
HS6ST2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.08711520635326,0.0293088412155736,4101,HIV,Early/mid,FALSE,FALSE
HS6ST3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.3317983388823,0.0123249404165823,3025,HIV,Early/mid,FALSE,FALSE
HSD3B2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-6.97069618492573,0.00228009039826229,1324,HIV,Early/mid,FALSE,FALSE
HSH2D,NA,NA,NA,NA,2,2,4,2.Up-regulated,HIV,Early/mid,NA,NA,NA,NA,NA,NA,FALSE,FALSE
HSPB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-6.27811163387376,0.00340059384738083,1624,HIV,Early/mid,FALSE,FALSE
HSPB7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.27101344476448,0.0310697506960313,4201,HIV,Early/mid,FALSE,FALSE
HTR1F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.41648652135891,0.0127375608339362,3071,HIV,Early/mid,FALSE,FALSE
HTR2A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.46436162652183,0.00208475359365823,1402,HIV,Early/mid,FALSE,FALSE
HTR2B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2.38218582494102,0.00147282870219966,1815,HIV,Early/mid,FALSE,FALSE
HTR3B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.58005589504608,0.00606436901683073,2316,HIV,Early/mid,FALSE,FALSE
HTR3E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.7291917939822,0.0449688114706774,4785,HIV,Early/mid,FALSE,FALSE
HYAL4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.6203238032344,0.00197664151033502,1467,HIV,Early/mid,FALSE,FALSE
HYDIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.695860513873,0.0196605516322284,3582,HIV,Early/mid,FALSE,FALSE
ID1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2.13321198193384,0.00905243574011758,2717,HIV,Early/mid,FALSE,FALSE
IDI2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.3161203117977,0.0207398975673622,3648,HIV,Early/mid,FALSE,FALSE
IFNL2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-6.16632834084689,0.0340073160641799,4335,HIV,Early/mid,FALSE,FALSE
IGDCC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-8.30624474310693,0.000115569677962412,323,HIV,Early/mid,FALSE,FALSE
IGF1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.13209009425016,0.00424184954645699,2051,HIV,Early/mid,FALSE,FALSE
IGF2BP2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2.79345027823024,0.00328183633382801,1956,HIV,Early/mid,FALSE,FALSE
IGFBP2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.93092184748323,0.00132528350713036,1304,HIV,Early/mid,FALSE,FALSE
IGFBP5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.18590101157094,0.00329729843158431,1693,HIV,Early/mid,FALSE,FALSE
IGFBP6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.72862565917784,0.00637652452015035,2350,HIV,Early/mid,FALSE,FALSE
IGFBP7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.65809266560868,0.00404315557062013,1878,HIV,Early/mid,FALSE,FALSE
IGFL2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.50451280224272,0.0226790732968732,3781,HIV,Early/mid,FALSE,FALSE
IGSF1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.88541928172839,0.027288056022384,4022,HIV,Early/mid,FALSE,FALSE
IGSF11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.5941861411481,0.00380022800842349,1850,HIV,Early/mid,FALSE,FALSE
IGSF5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.26646217780064,0.00944385491195319,2769,HIV,Early/mid,FALSE,FALSE
IHO1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2.41928603308409,0.039960283756505,4584,HIV,Early/mid,FALSE,FALSE
IL15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2.15633551377724,0.0421309269129481,4671,HIV,Early/mid,FALSE,FALSE
IL15RA,NA,NA,NA,NA,2,2,4,2.Up-regulated,HIV,Early/mid,NA,NA,NA,NA,NA,NA,FALSE,FALSE
IL17RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.76846065036599,0.0335605117309027,4322,HIV,Early/mid,FALSE,FALSE
IL17RE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2.32641634872794,0.0106621716859431,2902,HIV,Early/mid,FALSE,FALSE
IL18R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.2352270193017,0.00830346259969944,2652,HIV,Early/mid,FALSE,FALSE
IL1RAPL1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.24351762120024,0.0184960385637177,3519,HIV,Early/mid,FALSE,FALSE
IL1RAPL2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.73145193740568,0.0124288187856048,3037,HIV,Early/mid,FALSE,FALSE
IL1RL2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.20306638035437,0.0360646679481691,4414,HIV,Early/mid,FALSE,FALSE
IL20RA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.7387339680083,0.0227834365119986,3787,HIV,Early/mid,FALSE,FALSE
IL7R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.97204187696371,0.0134123775013245,3120,HIV,Early/mid,FALSE,FALSE
INSRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.5575366087995,0.0172986336006716,3433,HIV,Early/mid,FALSE,FALSE
IQANK1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2.5759437454319,0.015803268163509,3329,HIV,Early/mid,FALSE,FALSE
IQUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.40960866188363,0.00482887991393149,2106,HIV,Early/mid,FALSE,FALSE
IRAK1BP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2.25565433779149,0.017478197704021,3450,HIV,Early/mid,FALSE,FALSE
IRF1,NA,NA,NA,NA,2,2,4,2.Up-regulated,HIV,Early/mid,NA,NA,NA,NA,NA,NA,FALSE,FALSE
IRS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-6.0792717268238,0.00195527249590679,1322,HIV,Early/mid,FALSE,FALSE
IRX2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-7.04275805910719,0.00366833801610364,1639,HIV,Early/mid,FALSE,FALSE
IRX3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.99988580406359,0.0216684863626457,3713,HIV,Early/mid,FALSE,FALSE
IRX6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.50050739209177,0.00959912778375939,2782,HIV,Early/mid,FALSE,FALSE
ISL1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.01453675723423,0.0158545696990412,3332,HIV,Early/mid,FALSE,FALSE
ISLR2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.16926350481368,0.0103740556504261,2872,HIV,Early/mid,FALSE,FALSE
ITGA2B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.72582700402539,0.00355602762798276,1792,HIV,Early/mid,FALSE,FALSE
ITGA7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2.83196393086622,0.00373916567178799,2022,HIV,Early/mid,FALSE,FALSE
ITGA8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.89944088723377,0.0312133955376956,4213,HIV,Early/mid,FALSE,FALSE
ITGB8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.15096417590172,0.0228401255515104,3790,HIV,Early/mid,FALSE,FALSE
ITIH3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.09912886723634,0.01420971072397,3207,HIV,Early/mid,FALSE,FALSE
ITLN1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.20174692105421,0.0475104280010153,4873,HIV,Early/mid,FALSE,FALSE
JADE2,NA,NA,NA,NA,3,1,3,2.Up-regulated,HIV,Early/mid,NA,NA,NA,NA,NA,NA,FALSE,FALSE
JAKMIP3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.27217130882411,0.0111007317295705,2930,HIV,Early/mid,FALSE,FALSE
JPH1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.05870045997229,0.0256111091681052,3957,HIV,Early/mid,FALSE,FALSE
KANK3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.75010703017075,7.57768541986196E-05,678,HIV,Early/mid,FALSE,FALSE
KANK4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.44130938619249,0.0160978633846976,3350,HIV,Early/mid,FALSE,FALSE
KAZN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.56570676426249,0.00808948577734285,2628,HIV,Early/mid,FALSE,FALSE
KCNAB3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2.00777369863542,0.0406326037310802,4612,HIV,Early/mid,FALSE,FALSE
KCNC4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2.36531977905177,0.00604261373029635,2367,HIV,Early/mid,FALSE,FALSE
KCNE4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.62951130499174,0.00133425118141249,1200,HIV,Early/mid,FALSE,FALSE
KCNH3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.71296551273488,0.0206743230959707,3641,HIV,Early/mid,FALSE,FALSE
KCNH5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.52562114381695,0.0105442367607084,2884,HIV,Early/mid,FALSE,FALSE
KCNIP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.28479633167531,0.0270247457762429,4010,HIV,Early/mid,FALSE,FALSE
KCNIP4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.59296126787033,0.00290976974764439,1679,HIV,Early/mid,FALSE,FALSE
KCNJ12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.29269421392273,0.0127822363114412,3077,HIV,Early/mid,FALSE,FALSE
KCNJ16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-6.17308335824185,0.000690639728284605,923,HIV,Early/mid,FALSE,FALSE
